0,1,2,3
17,15,10,0
18,15,10,0
19,15,10,0
20,20,20,20
21,20,20,20
22,20,20,20
23,20,20,20
24,20,20,20
25,25,20,20
26,25,20,20
27,25,20,20
28,25,20,20
29,25,20,20
30,30,30,20
31,30,30,20
32,30,30,20
33,30,30,20
34,30,30,20
35,35,30,20
36,35,30,20
37,35,30,20
38,35,30,20
39,35,30,20
40,40,40,40
41,40,40,40
42,40,40,40
43,40,40,40
44,40,40,40
45,45,40,40
46,45,40,40
47,45,40,40
48,45,40,40
49,45,40,40
50,50,50,40
51,50,50,40
52,50,50,40
53,50,50,40
54,50,50,40
55,55,50,40
56,55,50,40
57,55,50,40
58,55,50,40
59,55,50,40
60,60,60,60
61,60,60,60
62,60,60,60
63,60,60,60
64,60,60,60
65,65,60,60
66,65,60,60
67,65,60,60
68,65,60,60
69,65,60,60
70,70,70,60
71,70,70,60
72,70,70,60
73,70,70,60
74,70,70,60
75,75,70,60
76,75,70,60
77,75,70,60
78,75,70,60
79,75,70,60
80,80,80,80
81,80,80,80
82,80,80,80
83,80,80,80
84,80,80,80
85,85,80,80
86,85,80,80
87,85,80,80
88,85,80,80
89,85,80,80
90,90,90,80
91,90,90,80
92,90,90,80
93,90,90,80
94,90,90,80
95,95,90,80
96,95,90,80
97,95,90,80
98,95,90,80
99,95,90,80
100,100,100,100
